Title,includes_bats_in_title,includes_traits_in_title,to_keep,includes_trait_info,directly_available,fully_included_in_another_source,pub_type,Year,Source,Publisher,Type,DOI,ISSN,Volume,Issue,phase
A dataset on African bats' functional traits,yes,yes,yes,yes,yes,no,database,2023,Scientific Data,nature.com,HTML,10.1038/s41597-023-02472-w,NA,NA,NA,first_phase
Trait-dependent tolerance of bats to urbanization: a global meta-analysis,yes,yes,yes,yes,yes,no,review,2018,Proceedings of the Royal Society ‚Ä¶,royalsocietypublishing.org,NA,10.1098/rspb.2018.1222,NA,NA,NA,first_phase
Urban affinity and its associated traits: A global analysis of bats,yes,yes,yes,yes,yes,no,article,2022,Global Change ‚Ä¶,Wiley Online Library,NA,10.1111/gcb.16320,NA,NA,NA,first_phase
"Bat functional traits associated with environmental, landscape, and conservation variables in Neotropical dry forests",yes,yes,no,yes,yes,no,article,2023,Frontiers in Forests ‚Ä¶,frontiersin.org,HTML,10.3389/ffgc.2023.1082427,NA,NA,NA,first_phase
Global patterns of functional trait variation along aridity gradients in bats,yes,yes,yes,yes,yes,no,article,2021,Global Ecology and ‚Ä¶,Wiley Online Library,NA,10.1111/geb.13278,NA,NA,NA,first_phase
Why bats matters: a critical assessment of bat-mediated ecological processes in the Neotropics,yes,no,yes,yes,no,no,review,2020,european Journal of ecology,journals.ku.edu,NA,10.17161/eurojecol.v6i1.13824 ,NA,NA,NA,first_phase
"Spatial and land‚Äêuse determinants of bat species richness, functional diversity, and site uniqueness throughout the largest Tropical country, Brazil",yes,no,no,,,,,2022,Mammal Review,Wiley Online Library,NA,10.1111/mam.12279,NA,NA,NA,first_phase
"African bat database: curated data of occurrences, distributions and conservation metrics for sub-Saharan bats",yes,no,yes,yes,yes,no,database,2024,Scientific Data,nature.com,HTML,10.1038/s41597-024-04170-7,NA,NA,NA,first_phase
"Skin and fur bacterial diversity and community structure on American southwestern bats: effects of habitat, geography and bat traits",yes,yes,no,,,,,2017,PeerJ,peerj.com,HTML,NA,NA,NA,NA,first_phase
A meta-analysis exploring associations between habitat degradation and Neotropical bat virus prevalence and seroprevalence,yes,no,yes,yes,yes,no,review,2023,Ecography,Wiley Online Library,NA,10.1111/ecog.07041,NA,NA,NA,first_phase
Drivers of bat roles in Neotropical seed dispersal networks: abundance is more important than functional traits,yes,yes,yes,yes,yes,no,review,2020,Oecologia,Springer,NA,10.1007/s00442-020-04662-4,NA,NA,NA,first_phase
On the development of a trait-based approach for studying Neotropical bats,yes,yes,yes,no,yes,,review,2021,Pap√©is Avulsos de Zoologia,SciELO Brasil,HTML,NA,NA,NA,NA,first_phase
A global synthesis of survival estimates for microbats,yes,no,yes,yes,yes,no,review,2015,Biology ‚Ä¶,royalsocietypublishing.org,NA,10.1098/rsbl.2015.0371,NA,NA,NA,first_phase
Functional diversity and trait-environment relationships of bat assemblages in an Amazonian forest-savannah mosaic,yes,yes,no,,,,,2024,Biodiversity and ‚Ä¶,Springer,NA,10.1007/s10531-024-02880-3,NA,NA,NA,first_phase
Taxonomic and functional responses of bats to habitat flooding by an Amazonian mega-dam,yes,no,no,,,,,2022,Biodiversity and ‚Ä¶,Springer,NA,10.1007/s10531-022-02396-8,NA,NA,NA,first_phase
Functional diversity and trait filtering of insectivorous bats on forest islands created by an Amazonian mega dam,yes,yes,no,,,,,2023,Functional ‚Ä¶,Wiley Online Library,NA,10.1111/1365-2435.14118,NA,NA,NA,first_phase
Does seed ingestion by bats enhance germination? A new meta-analysis 15 years later,yes,no,yes,yes,yes,no,review,2019,Mammal ‚Ä¶,Wiley Online Library,NA,10.1111/mam.12153,NA,NA,NA,first_phase
"Taxonomic, functional and phylogenetic bat diversity decrease from more to less complex natural habitats in the Amazon",yes,no,no,,,,,2021,Oecologia,Springer,NA,10.1007/s00442-021-05009-3,NA,NA,NA,first_phase
Cerrado bat community assembly is determined by both present day and historical factors,yes,no,yes,yes,yes,no,review,2024,Journal of Biogeography,Wiley Online Library,NA,10.1111/jbi.14798,NA,NA,NA,first_phase
Trait‚Äêbased functional dietary analysis provides a better insight into the foraging ecology of bats,yes,yes,no,,,,,2019,Journal of Animal ‚Ä¶,Wiley Online Library,NA,10.1111/1365-2656.13055,NA,NA,NA,first_phase
Effects of pine forest management practices on bat functional traits in a subtropical region,yes,yes,no,,,,,2021,Acta ‚Ä¶,ingentaconnect.com,NA,10.3161/15081109ACC2021.23.2.012,NA,NA,NA,first_phase
Six reference-quality genomes reveal evolution of bat adaptations,yes,no,yes,yes,yes,no,article,2020,Nature,nature.com,HTML,10.1038/s41586-020-2486-3,NA,NA,NA,first_phase
Drivers of European bat population change: a review reveals evidence gaps,yes,no,yes,yes,yes,no,review,2021,Mammal ‚Ä¶,Wiley Online Library,NA,10.1111/mam.12239,NA,NA,NA,first_phase
BATScan: A radar classification tool reveals large-scale bat migration patterns,yes,no,no,yes,yes,,article,2023,Methods in Ecology and ‚Ä¶,Wiley Online Library,NA,10.1111/2041-210X.14125,NA,NA,NA,first_phase
Trait‚Äêrelated responses to habitat fragmentation in Amazonian bats,yes,yes,no,,,,,2015,Journal of Applied ‚Ä¶,Wiley Online Library,NA,10.1111/1365-2664.12490,NA,NA,NA,first_phase
Functional diversity and trait filtering of insectivorous bats relate to forest biogeography and fragmentation in South Africa,yes,yes,no,,,,,2021,Journal of ‚Ä¶,Wiley Online Library,NA,10.1111/jbi.14069,NA,NA,NA,first_phase
Trait-mediated filtering predicts phyllostomid bat responses to habitat disturbance in the Orinoco Llanos,yes,yes,no,,,,,2024,Biodiversity and ‚Ä¶,Springer,NA,10.1007/s10531-024-02792-2,NA,NA,NA,first_phase
Design and applicability of DNA arrays and DNA barcodes in biodiversity monitoring,no,no,yes,yes,yes,no,article,2007,BMC biology,Springer,HTML,10.1186/1741-7007-5-24,NA,NA,NA,first_phase
The influence of bat ecology on viral diversity and reservoir status,yes,no,yes,yes,yes,no,review,2020,Ecology and Evolution,Wiley Online Library,NA,10.1002/ece3.6315,NA,NA,NA,first_phase
Bats in a changing landscape: Linking occupancy and traits of a diverse montane bat community to fire regime,yes,yes,no,,,,,2019,Ecology and ‚Ä¶,Wiley Online Library,NA,10.1002/ece3.5121,NA,NA,NA,first_phase
Bats in the Ghats: Agricultural intensification reduces functional diversity and increases trait filtering in a biodiversity hotspot in India,yes,yes,no,,,,,2017,Biological ‚Ä¶,Elsevier,HTML,NA,NA,NA,NA,first_phase
Non-auditory Defences of Prey Against Bat Predation,yes,no,no,,,,,2016,Predator‚ÄìPrey Interactions ‚Ä¶,Springer,NA,10.1007/978-3-319-32492-0_3,NA,NA,NA,first_phase
Predator-prey traits and foraging habitat shape the diet of a common insectivorous bat,yes,yes,no,,,,,2023,Acta Oecologica,Elsevier,HTML,NA,NA,NA,NA,first_phase
The role of forest structure and composition in driving the distribution of bats in Mediterranean regions,yes,no,yes,yes,yes,no,article,2022,Scientific Reports,nature.com,HTML,10.1038/s41598-022-07229-w,NA,NA,NA,first_phase
The evolution of anti-bat sensory illusions in moths,yes,no,no,,,,,2018,Science ‚Ä¶,science.org,NA,10.1126/sciadv.aar7428,NA,NA,NA,first_phase
Seasonally dry tropical forests: new insights for their knowledge and conservation,no,no,no,,,,,2024,Frontiers in Forests ‚Ä¶,frontiersin.org,HTML,10.3389/ffgc.2023.1350375,NA,NA,NA,first_phase
Twenty years of bat monitoring at the London Wetland Centre: showing the biodiversity value of a man-made urban reserve,yes,no,no,,,,,2017,The London ‚Ä¶,researchgate.net,PDF,NA,NA,NA,NA,first_phase
Functional traits of bats associated with the use of wetlands in Colombian tropical dry forests,yes,yes,no,,,,,2020,Acta ‚Ä¶,ingentaconnect.com,NA,10.3161/15081109ACC2020.22.2.005,NA,NA,NA,first_phase
Learning to Hunt on the Go: Dietary Changes During Development of Rhinolophid Bats,yes,no,no,,,,,2024,Animals: an Open ‚Ä¶,pmc.ncbi.nlm.nih.gov,HTML,NA,NA,NA,NA,first_phase
Evolutionary escalation: the bat-moth arms race,yes,no,yes,no,no,,review,2016,Journal of Experimental ‚Ä¶,journals.biologists.com,NA,NA,NA,NA,NA,first_phase
Contrasting multi-taxa functional diversity patterns along vegetation structure gradients of woody pastures,no,no,no,,,,,2020,Biodiversity and ‚Ä¶,Springer,HTML,10.1007/s10531-020-02037-y,NA,NA,NA,first_phase
Vulnerability of bat-plant pollination interactions due to environmental change,yes,no,yes,yes,yes,no,review,2021,Global Change ‚Ä¶,Wiley Online Library,NA,10.1111/gcb.15611,NA,NA,NA,first_phase
Consumption of endemic arbovirus mosquito vectors by bats in the southeastern United States,yes,no,no,,,,,2022,Journal of Vector ‚Ä¶,BioOne,NA,10.52707/1081-1710-47.2.153.short,NA,NA,NA,first_phase
The interplay between spatiotemporal overlap and morphology as determinants of microstructure suggests no 'perfect fit'in a bat-flower network,yes,no,no,,,,,2023,Scientific Reports,nature.com,HTML,NA,NA,NA,NA,first_phase
The trans-boundary importance of artificial bat hibernacula in managed European forests,yes,no,no,,,,,2014,Biodiversity and ‚Ä¶,Springer,NA,10.1007/s10531-014-0620-y,NA,NA,NA,first_phase
Interacting elevational and latitudinal gradients determine bat diversity and distribution across the Neotropics,yes,no,yes,yes,yes,yes,review,2021,Journal of Animal ‚Ä¶,Wiley Online Library,NA,10.1111/1365-2656.13594,NA,NA,NA,first_phase
Do gastrointestinal microbiomes play a role in bats' unique viral hosting capacity?,yes,no,yes,yes,no,no,review,2022,Trends in ‚Ä¶,cell.com,NA,10.1016/j.tim.2021.12.009 ,NA,NA,NA,first_phase
Gene losses in the common vampire bat illuminate molecular adaptations to blood feeding,yes,no,no,,,,,2022,Science ‚Ä¶,science.org,NA,10.1126/sciadv.abm6494,NA,NA,NA,first_phase
Multilayer networks assisting to untangle direct and indirect pathogen transmission in bats,yes,no,no,,,,,2023,Microbial Ecology,Springer,NA,10.1007/s00248-022-02108-3,NA,NA,NA,first_phase
Phyllostomid bat microbiome composition is associated to host phylogeny and feeding strategies,yes,no,no,,,,,2015,Frontiers in ‚Ä¶,frontiersin.org,HTML,10.3389/fmicb.2015.00447,NA,NA,NA,first_phase
Habitat suitability mapping using logistic regression analysis of long-term bioacoustic bat survey dataset in the Cassadaga Creek watershed (USA),yes,no,no,,,,,2023,Science of the Total Environment,Elsevier,HTML,NA,NA,NA,NA,first_phase
"Phylogeny, traits, and biodiversity of a Neotropical bat assemblage: close relatives show similar responses to local deforestation",yes,yes,no,,,,,2017,The American ‚Ä¶,journals.uchicago.edu,NA,10.1086/692534,NA,NA,NA,first_phase
Bat genomics,yes,no,no,,,,,2015,Bats and Viruses: A New Frontier of ‚Ä¶,Wiley Online Library,NA,10.1002/9781118818824.ch13,NA,NA,NA,first_phase
Estimating habitat loss due to wind turbine avoidance by bats: Implications for European siting guidance,yes,no,no,,,,,2018,Biological Conservation,Elsevier,HTML,NA,NA,NA,NA,first_phase
Evolutionary history and precipitation seasonality shape niche overlap in Neotropical bat-plant pollination networks,yes,no,yes,yes,yes,no,review,2023,Biotropica,Wiley Online Library,NA,10.1111/btp.13181,NA,NA,NA,first_phase
Functional diversity of phyllostomid bats in an urban‚Äìrural landscape: A scale‚Äêdependent analysis,yes,no,no,,,,,2020,Biotropica,Wiley Online Library,NA,10.1111/btp.12816,NA,NA,NA,first_phase
"Host phylogeny, geographic overlap, and roost sharing shape parasite communities in European bats",yes,no,no,,,,,2019,Frontiers in Ecology ‚Ä¶,frontiersin.org,HTML,10.3389/fevo.2019.00069,NA,NA,NA,first_phase
An integrative approach to understanding diversity patterns and assemblage rules in Neotropical bats,yes,no,yes,yes,yes,no,article,2023,Scientific Reports,nature.com,HTML,10.1038/s41598-023-35100-z ,NA,NA,NA,first_phase
The relative effects of local and landscape characteristics of hedgerows on bats,yes,no,no,,,,,2018,Diversity,mdpi.com,HTML,NA,NA,NA,NA,first_phase
"Factors affecting Grey‚Äêheaded Flying‚Äêfox (Pteropus poliocephalus: Pteropodidae) foraging in the Melbourne metropolitan area, Australia",no,no,no,,,,,2005,Austral ‚Ä¶,Wiley Online Library,NA,10.1111/j.1442-9993.2005.01492.x,NA,NA,NA,first_phase
Aerial Warfare: Have Bats and Moths Co-evolved?,yes,no,no,,,,,2016,Predator‚ÄìPrey Interactions ‚Ä¶,Springer,NA,10.1007/978-3-319-32492-0_5,NA,NA,NA,first_phase
Sensory adaptations reshaped intrinsic factors underlying morphological diversification in bats,yes,no,yes,yes,yes,no,article,2021,BMC biology,Springer,NA,10.1186/s12915-021-01022-3,NA,NA,NA,first_phase
Spatiotemporal distribution of a non-haematophagous bat community and rabies virus circulation: a proposal for urban rabies surveillance in Brazil,yes,no,no,,,,,2019,Epidemiology & ‚Ä¶,cambridge.org,NA,NA,NA,NA,NA,first_phase
Evolutionary Escalation: The Bat‚ÄìMoth Arms Race,yes,no,no,,,,,2016,The Journal of Experimental Biology,digitalcommons.dartmouth.edu,NA,NA,NA,NA,NA,first_phase
"Bats of Nepal, A field guide",yes,no,no,,,,,2012,Small Mammals ‚Ä¶,researchportal.helsinki.fi,PDF,NA,NA,NA,NA,first_phase
Echolocation and stratum preference: key trait correlates of vulnerability of insectivorous bats to tropical forest fragmentation,yes,yes,no,,,,,2019,Frontiers in Ecology ‚Ä¶,frontiersin.org,HTML,10.3389/fevo.2019.00373,NA,NA,NA,first_phase
Using host traits to predict reservoir host species of rabies virus,no,yes,yes,yes,yes,yes,review,2020,PLoS neglected ‚Ä¶,journals.plos.org,HTML,10.1371/journal.pntd.0008940,NA,NA,NA,first_phase
Do activity patterns and the degree of foraging specialization enable niche partitioning in nectarivorous bats?,yes,no,no,,,,,2019,Acta ‚Ä¶,ingentaconnect.com,NA,10.3161/15081109ACC2019.21.1.011,NA,NA,NA,first_phase
Automating microsatellite screening and primer design from multi-individual libraries using Micro-Primers,no,no,no,,,,,2022,Scientific Reports,nature.com,HTML,NA,NA,NA,NA,first_phase
Annual precipitation predicts the phylogenetic signal in bat-fruit interaction networks across the Neotropics,yes,no,yes,yes,yes,no,review,2021,Biology ‚Ä¶,royalsocietypublishing.org,NA,10.1098/rsbl.2021.0478,NA,NA,NA,first_phase
"Body size affects immune cell proportions in birds and non-volant mammals, but not bats",yes,no,no,,,,,2021,Journal of ‚Ä¶,journals.biologists.com,NA,10.1242/jeb.241109/2079153/jeb241109,NA,NA,NA,first_phase
A Semantic Web-Based Approach for Bat Trajectory Reconstruction With Human Keypoint Information,yes,no,no,,,,,2024,International Journal on Semantic Web ‚Ä¶,igi-global.com,NA,NA,NA,NA,NA,first_phase
Is part‚Äênight lighting an effective measure to limit the impacts of artificial lighting on bats?,yes,no,no,,,,,2015,Global Change ‚Ä¶,Wiley Online Library,NA,10.1111/gcb.13036,NA,NA,NA,first_phase
Atmospheric humidity affects global variation of bat echolocation via indirect effects,yes,no,yes,yes,yes,no,review,2022,Frontiers in Ecology ‚Ä¶,frontiersin.org,HTML,10.3389/fevo.2022.934876,NA,NA,NA,first_phase
"Extent, configuration and diversity of burned and forested areas predict bat richness in a fire-maintained forest",yes,no,no,,,,,2021,Landscape ‚Ä¶,Springer,HTML,10.1007/s10980-021-01204-y,NA,NA,NA,first_phase
"Environment, host, and fungal traits predict continental-scale white-nose syndrome in bats",yes,yes,no,,,,,2016,Science ‚Ä¶,science.org,NA,10.1126/sciadv.1500831,NA,NA,NA,first_phase
"Computational analysis of SARS-CoV-2 and SARS-like coronavirus diversity in human, bat and pangolin populations",yes,no,no,,,,,2020,Viruses,mdpi.com,HTML,NA,NA,NA,NA,first_phase
Terrestrial laser scanning reveals below-canopy bat trait relationships with forest structure,yes,yes,no,,,,,2017,Remote Sensing of ‚Ä¶,Elsevier,NA,NA,NA,NA,NA,first_phase
Synthesis and Future Research,no,no,no,,,,,2016,Predator‚ÄìPrey Interactions ‚Ä¶,Springer,NA,10.1007/978-3-319-32492-0_7,NA,NA,NA,first_phase
Elucidating the consequences of a warming climate for common bat species in north-western Europe,yes,no,no,,,,,2019,Acta ‚Ä¶,ingentaconnect.com,NA,10.3161/15081109ACC2019.21.2.011,NA,NA,NA,first_phase
The effects of wildfire severity and pyrodiversity on bat occupancy and diversity in fire-suppressed forests,yes,no,no,,,,,2019,Scientific Reports,nature.com,HTML,NA,NA,NA,NA,first_phase
Viral maintenance and excretion dynamics of coronaviruses within an Egyptian rousette fruit bat maternal colony: considerations for spillover,yes,no,no,,,,,2023,Scientific Reports,nature.com,HTML,NA,NA,NA,NA,first_phase
Relative importance of two bat species as pollinators of Neobuxbaumia tetetzo (Cactaceae): Evidences from morphometric and pollen load analyses,yes,no,no,,,,,2023,Ecological ‚Ä¶,Wiley Online Library,NA,10.1111/1440-1703.12384,NA,NA,NA,first_phase
Visual analysis of dimensionality reduction for exploring bat flight kinematics in a virtual environment,yes,no,no,,,,,2009,Proceedings of the ‚Ä¶,diglib.eg.org,PDF,10.2312/EGVE.JVRC09.077-084/077-084,NA,NA,NA,first_phase
Road density and forest fragmentation shape bat communities in temperate mosaic landscapes,yes,no,no,,,,,2022,Landscape and Urban ‚Ä¶,Elsevier,HTML,NA,NA,NA,NA,first_phase
Indiana bat summer maternity distribution: effects of current and future climates,yes,no,no,,,,,2013,Ecology and Evolution,Wiley Online Library,NA,10.1002/ece3.440,NA,NA,NA,first_phase
Fluctuating fortunes: genomes and habitat reconstructions reveal global climate-mediated changes in bats' genetic diversity,yes,no,no,,,,,2019,Proceedings of the ‚Ä¶,royalsocietypublishing.org,NA,10.1098/rspb.2019.0304,NA,NA,NA,first_phase
Bat sonar and wing morphology predict species vertical niche,yes,no,no,,,,,2019,The Journal of the Acoustical ‚Ä¶,pubs.aip.org,NA,NA,NA,NA,NA,first_phase
"Scale‚Äêdependent influences of environmental, historical, and spatial processes on taxonomic and functional beta diversity of Japanese bat assemblages",yes,no,yes,yes,yes,no,review,2024,Ecology and Evolution,Wiley Online Library,NA,10.1002/ece3.11277,NA,NA,NA,first_phase
Predicting biodiversity loss in island and countryside ecosystems through the lens of taxonomic and functional biogeography,no,no,no,,,,,2020,‚Ä¶,Wiley Online Library,NA,10.1111/ecog.04507,NA,NA,NA,first_phase
Name disambiguation based on graph convolutional network,no,no,no,,,,,2021,Scientific Programming,Wiley Online Library,NA,10.1155/2021/5577692,NA,NA,NA,first_phase
Integrated operational taxonomic units (IOTUs) in echolocating bats: a bridge between molecular and traditional taxonomy,yes,no,no,,,,,2012,PloS one,journals.plos.org,HTML,NA,NA,NA,NA,first_phase
BioCPPNet: automatic bioacoustic source separation with deep neural networks,no,no,no,,,,,2021,Scientific Reports,nature.com,HTML,NA,NA,NA,NA,first_phase
Ecology and conservation of insectivorous bats in fragmented areas of macadamia production in eastern Australia,yes,no,no,,,,,2017,Austral ‚Ä¶,Wiley Online Library,NA,10.1111/aec.12478,NA,NA,NA,first_phase
"A genome assembly of the Yuma myotis bat, Myotis yumanensis",yes,no,no,,,,,2024,Journal of ‚Ä¶,academic.oup.com,NA,NA,NA,NA,NA,first_phase
Chemical tradeoffs in seed dispersal: defensive metabolites in fruits deter consumption by mutualist bats,yes,no,no,,,,,2016,Oikos,Wiley Online Library,NA,10.1111/oik.02210,NA,NA,NA,first_phase
Spatial Gaussian processes improve multi‚Äêspecies occupancy models when range boundaries are uncertain and nonoverlapping,no,no,no,,,,,2021,Ecology and ‚Ä¶,Wiley Online Library,NA,10.1002/ece3.7629,NA,NA,NA,first_phase
An all-Ireland volunteer-based bat monitoring scheme: the process of volunteer recruitment and validation of results,yes,no,no,,,,,2012,Irish Naturalists' Journal,JSTOR,NA,NA,NA,NA,NA,first_phase
Response of bat species to sylvo-pastoral abandonment,yes,no,no,,,,,2011,Forest Ecology and ‚Ä¶,Elsevier,NA,NA,NA,NA,NA,first_phase
Global shifts in mammalian population trends reveal key predictors of virus spillover risk,no,no,yes,yes,yes,no,review,2020,‚Ä¶ of the Royal ‚Ä¶,royalsocietypublishing.org,NA,10.1098/rspb.2019.2736,NA,NA,NA,first_phase
Reducing conflict between the common vampire bat Desmodus rotundus and cattle ranching in Neotropical landscapes,yes,no,yes,yes,yes,no,review,2023,Mammal ‚Ä¶,Wiley Online Library,NA,10.1111/mam.12313,NA,NA,NA,first_phase
Bat auditory cortex‚Äìmodel for general mammalian auditory computation or special design solution for active time perception?,yes,no,no,,,,,2015,European Journal of ‚Ä¶,Wiley Online Library,NA,10.1111/ejn.12801,NA,NA,NA,first_phase
A mechanism for punctuating equilibria during mammalian vocal development,no,no,no,,,,,2022,PLoS computational ‚Ä¶,journals.plos.org,HTML,NA,NA,NA,NA,first_phase
Functional recovery of Amazonian bat assemblages following secondary forest succession,yes,no,no,,,,,2018,Biological ‚Ä¶,Elsevier,HTML,NA,NA,NA,NA,first_phase
Online data cleaning for out-of-core column-store databases with timestamped binary association tables,no,no,no,,,,,2015,CATA 2015,researchgate.net,PDF,NA,NA,NA,NA,first_phase
Mycobiome traits associated with disease tolerance predict many western North American bat species will be susceptible to white-nose syndrome,yes,yes,no,,,,,2021,Microbiology ‚Ä¶,Am Soc Microbiol,NA,10.1128/spectrum.00254-21,NA,NA,NA,first_phase
"Axmacher, J., &Fiedler, K.(2008). Habitat type modifies geometry of elevational diversity gradients in geometrid moths (Lepidoptera Geometridae) on Mt ‚Ä¶",no,no,no,,,,,2021,Drivers of Diversity ‚Ä¶,ttu-ir.tdl.org,PDF,NA,NA,NA,NA,first_phase
Behavioral and physiological bases for doppler shift compensation by echolocating bats,yes,no,no,,,,,2016,Bat bioacoustics,Springer,NA,10.1007/978-1-4939-3527-7_9,NA,NA,NA,first_phase
Island area and diet predict diversity and distribution of bats in a Pacific Northwest archipelago,yes,no,no,,,,,2024,Journal of Mammalogy,academic.oup.com,NA,10.1093/jmammal/gyae073,NA,NA,NA,first_phase
Changes in bat activity over 10 years in silviculturally treated wet sclerophyll forest,yes,no,no,,,,,2020,Australian Mammalogy,CSIRO Publishing,NA,NA,NA,NA,NA,first_phase
Skin fungal assemblages of bats vary based on susceptibility to white-nose syndrome,yes,no,no,,,,,2021,The ISME ‚Ä¶,academic.oup.com,NA,NA,NA,NA,NA,first_phase
Metacommunity analysis of Mexican bats: environmentally mediated structure in an area of high geographic and environmental complexity,yes,no,no,,,,,2012,Journal of ‚Ä¶,Wiley Online Library,NA,10.1111/j.1365-2699.2011.02590.x,NA,NA,NA,first_phase
A slow-fast trait continuum at the whole community level in relation to land-use intensification,no,yes,no,,,,,2024,Nature ‚Ä¶,nature.com,HTML,NA,NA,NA,NA,first_phase
Genome polarisation for detecting barriers to geneflow,no,no,no,,,,,2023,Methods in Ecology ‚Ä¶,Wiley Online Library,NA,10.1111/2041-210X.14010,NA,NA,NA,first_phase
DNA metabarcoding analyses reveal fine-scale microbiome structures on Western Canadian bat wings,yes,no,no,,,,,2024,Microbiology Spectrum,journals.asm.org,NA,10.1128/spectrum.00376-24,NA,NA,NA,first_phase
The road to functional recovery: temporal effects of matrix regeneration on Amazonian bats,yes,no,no,,,,,2018,Tropical ‚Ä¶,journals.sagepub.com,NA,10.1177/1940082918777185,NA,NA,NA,first_phase
Go big or go fish: morphological specializations in carnivorous bats,yes,no,no,yes,yes,no,article,2016,Proceedings of the Royal ‚Ä¶,royalsocietypublishing.org,NA,10.1098/rspb.2016.0615,NA,NA,NA,first_phase
Skin microbiota variation among bat species in china and their potential defense against pathogens,yes,no,no,,,,,2022,Frontiers in ‚Ä¶,frontiersin.org,HTML,10.3389/fmicb.2022.808788,NA,NA,NA,first_phase
Research priorities for the ghost bat (Macroderma gigas) in the Pilbara region of Western Australia,yes,no,no,,,,,2022,Australian ‚Ä¶,CSIRO Publishing,NA,NA,NA,NA,NA,first_phase
White-nose syndrome restructures bat skin microbiomes,yes,no,no,,,,,2023,Microbiology ‚Ä¶,Am Soc Microbiol,NA,10.1128/spectrum.02715-23,NA,NA,NA,first_phase
Assessing niche partitioning of co‚Äêoccurring sibling bat species by DNA metabarcoding,yes,no,no,,,,,2018,Molecular ‚Ä¶,Wiley Online Library,NA,10.1111/mec.14508,NA,NA,NA,first_phase
Great diversity of KSŒ± sequences from bat-associated microbiota suggests novel sources of uncharacterized natural products,yes,no,no,,,,,2022,FEMS ‚Ä¶,academic.oup.com,NA,10.1093/femsmc/xtac012/6569701,NA,NA,NA,first_phase
Ecology shapes the genomic and biosynthetic diversification of Streptomyces bacteria from insectivorous bats,yes,no,no,,,,,2024,Microbial ‚Ä¶,microbiologyresearch.org,NA,10.1099/mgen.0.001238,NA,NA,NA,first_phase
Phylogenomics resolves major relationships and reveals significant diversification rate shifts in the evolution of silk moths and relatives,no,no,no,,,,,2019,BMC evolutionary ‚Ä¶,Springer,HTML,10.1186/s12862-019-1505-1,NA,NA,NA,first_phase
Unraveling the macroevolution of horseshoe bats (Chiroptera: Rhinolophidae: Rhinolophus),yes,no,no,,,,,2023,Zoological ‚Ä¶,ncbi.nlm.nih.gov,HTML,NA,NA,NA,NA,first_phase
