trait_type,complex_or_functional_dimension,label,times_represented,represented_in,first_represented_in,type,allowed_values_levels,units,allowed_values_min,allowed_values_max,description
Life history,Physiological,ResponseToNightlyWindSpeed,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,.na,NA,NA,Estimated response to wind speed at night calculated from generalized linear mixed model
Life history,Physiological,hibernation_torpor,4,"Soria_2021, Cosentino_2023, Froidevaux_2023, Wilkinson_2002",Soria_2021,categorical,"0 (no), 1 (yes)",.na,.na,.na,Individuals of the species go through hibernation or torpor
Life history,Physiological,Hibernation length,1,Cosentino_2023,Cosentino_2023,numeric,.na,days,NA,NA,Length of the hibernation period
Life history,Physiological,HeartRateTorpor,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,bpm,NA,NA,"Heart rate during torpor (beats per minutes, bpm)"
Life history,Physiological,MaxTorporBoutDuration,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,h,NA,NA,Maximum torpor bout duration
Life history,Physiological,MeanTorporBoutDuration,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,h,NA,NA,Mean torpor bout duration
Life history,Behavioral,Migration,4,"Castillo-Figueroa_2021, Cosentino_2023, Barbaro_2019, Charbonnier_2016",Castillo-Figueroa_2021,categorical,Resident; Migratory,.na,.na,.na,Species movement according its life history
Life history,Behavioral,Sociality,1,Castillo-Figueroa_2021,Castillo-Figueroa_2021,categorical,Solitary; Society; Group; Colony; Aggregation,.na,.na,.na,Clustering of individuals
Life history,Behavioral,social_group_size_n,1,Soria_2021,Soria_2021,numeric,.na,individuals,NA,NA,Number of individuals in a group that spends most of their daily time together
Life history,Behavioral,Territoriality (F/M/U),1,Cosentino_2023,Cosentino_2023,categorical,"1= yes, 2=no",.na,.na,.na,Territoriality of the species individuals
Life history,Behavioral,Foraging strategy,7,"Castillo-Figueroa_2021, Renner_2018, Monadjem_2018, Presley_2018, Scheiner_2017, Cisneros_2014, Carrasco-Rueda_2020",Castillo-Figueroa_2021,categorical,Gleaning foragers; Aerial foragers; Trawling foragers,.na,.na,.na,Behavioral strategy that is used to obtain food
Life history,Behavioral,aerial,1,Scheiner_2017,Scheiner_2017,categorical,"1 = yes, 2 = no",.na,.na,.na,Definition not specified in database; Check in article for more details
Life history,Behavioral,Hawking,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Hawking strategy
Life history,Behavioral,Gleaning,2,"Cosentino_2023, Scheiner_2017",Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Gleaning strategy
Life history,Behavioral,Flycatching,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Flycatching strategy
Life history,Behavioral,Trawling,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Trawling strategy
Life history,Behavioral,Hovering,2,"Cosentino_2023, Scheiner_2017",Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Hovering strategy
Life history,Behavioral,Perching,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Perching strategy
Life history,Behavioral,other,1,Scheiner_2017,Scheiner_2017,categorical,"1 = yes, 2 = no",.na,.na,.na,Definition not specified in database; Check in article for more details
Life history,Behavioral,Activity pattern,2,"Castillo-Figueroa_2021, Soria_2021",Castillo-Figueroa_2021,numerical,.na,Number of recording events per time hour,NA,NA,"Activity period of bat species within nocturnal time. Commonly spanned from 
18:00h to 6:00h. Number of recording events per time hour"
Life history,Behavioral,Activity pattern/Dusk,1,Cosentino_2023,Cosentino_2023,categorical,"1= yes, 2=no",.na,.na,.na,Activity pattern of the species
Life history,Behavioral,Activity pattern/Night,1,Cosentino_2023,Cosentino_2023,categorical,"1= yes, 2=no",.na,.na,.na,Activity pattern of the species
Life history,Behavioral,Activity pattern/Dawn,1,Cosentino_2023,Cosentino_2023,categorical,"1= yes, 2=no",.na,.na,.na,Activity pattern of the species
Life history,Behavioral,Activity pattern/Day,1,Cosentino_2023,Cosentino_2023,categorical,"1= yes, 2=no",.na,.na,.na,Activity pattern of the species
Life history,Behavioral,SeasonalActivityPatternKurtosis,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,.na,NA,NA,"Kurtosis index of the seasonal activity pattern: kurtosis is the measure of the sharpness of the peak of a frequency distribution, with positive values indicating heavy tails and negative values indicated light tails"
Life history,Behavioral,SeasonalActivityPatternSkewness,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,.na,NA,NA,"Skewness index of the seasonal activity pattern: if values <-0.5: indication of a substantially skewed distribution towards the spring, if values >0.5: indication of a substantially skewed distribution towards the autumn, if values [-0.5,5]: distribution fairly symmetrical with peak around mid-summer"
Life history,Behavioral,total activity level,1,Luck_2013,Luck_2013,numeric,.na,NA,NA,NA,i.e. number of passes from all bat species including passes not identified to species level
Life history,Trophic niche,Feeding guild,23,"Castillo-Figueroa_2021, Soria_2021, Froidevaux_2023, Tanalgo_2022, Wilkinson_2002, Laurindo_2020, Stevens_2018, Farneda_2018, Monadjem_2018, Pereira_2018, Presley_2018, Briones-Salas_2017, Wordley_2017, García-Morales_2016, Farneda_2015, Cisneros_2014, Stevens_2014, Stevens_2013, Stevens_2004, Sánchez_2017, Lucho_2017, Carrasco-Rueda_2020, Coelho_2018",Castillo-Figueroa_2021,categorical,"Necterivore; Frugivore; Carnívore; Omnívore; Sanguinivore; Insectívore; 
Piscívore",.na,.na,.na,Based on the food item that is consumed mainly for a large part of bat life
Life history,Trophic niche,Insectivorous,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Insectivorous species
Life history,Trophic niche,Frugivorous,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Frugivorous species
Life history,Trophic niche,Nectarivorous,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Nectarivorous species
Life history,Trophic niche,Carnivorous,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Carnivorous species
Life history,Trophic niche,Diet specialization,7,"Castillo-Figueroa_2021, Froidevaux_2023, Barbaro_2019, Farneda_2018, Pereira_2018, Charbonnier_2016, Farneda_2015",Castillo-Figueroa_2021,numeric,.na,.na,NA,NA,"Based on the percentage of the contribution of each food item to the total 
diet the species. Levin index as well as Morisita index can estimate 
dietary specialization"
Life history,Trophic niche,FirstMainPreyItem,2,"Froidevaux_2023, Fukui_2009",Froidevaux_2023,categorical,"Lepidoptera, Coleoptera, Diptera, Trichoptera, Hymenoptera, Orthoptera, Arachnida",.na,.na,.na,"Order of the main prey item: Lepidoptera, Coleoptera, Diptera, Trichoptera, Hymenoptera, Orthoptera, Arachnida"
Life history,Trophic niche,SecondMainPreyItem,1,Froidevaux_2023,Froidevaux_2023,categorical,"Lepidoptera, Coleoptera, Diptera, Trichoptera, Hymenoptera, Orthoptera, Arachnida",.na,.na,.na,"Order of the second main prey item: Lepidoptera, Coleoptera, Diptera, Trichoptera, Hymenoptera, Orthoptera, Arachnida"
Life history,Trophic niche,ThirdMainPreyItem,1,Froidevaux_2023,Froidevaux_2023,categorical,"Lepidoptera, Coleoptera, Diptera, Trichoptera, Hymenoptera, Orthoptera, Arachnida",.na,.na,.na,"Order of the third main prey item: Lepidoptera, Coleoptera, Diptera, Trichoptera, Hymenoptera, Orthoptera, Arachnida"
Life history,Trophic niche,dphy_invertebrate,3,"Soria_2021, Scheiner_2017, Pereira_2019",Soria_2021,numeric,.na,%,NA,NA,Percentage of the diet composed of invertebrates
Life history,Trophic niche,dphy_vertebrate,2,"Soria_2021, Scheiner_2017",Soria_2021,numeric,.na,%,NA,NA,Percentage of the diet composed of vertebrates
Life history,Trophic niche,dphy_plant,2,"Soria_2021, Cosentino_2023",Soria_2021,numeric,.na,%,NA,NA,Percentage of the diet composed of plants and/or fungi
Life history,Trophic niche,det_inv,2,"Soria_2021, Cosentino_2023",Soria_2021,numeric,.na,%,NA,NA,Percentage of the diet composed of invertebrates
Life history,Trophic niche,Arachnids,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Presence of arachnids in the diet
Life history,Trophic niche,Centipedes,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Presence of chilopods in the diet
Life history,Trophic niche,det_vend,1,Soria_2021,Soria_2021,numeric,.na,%,NA,NA,"Percentage of the diet composed of mammals, birds"
Life history,Trophic niche,Birds,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Presence of birds in the diet
Life history,Trophic niche,Mammals,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Presence of mammals in the diet
Life history,Trophic niche,blood,2,"Scheiner_2017, Pereira_2019",Scheiner_2017,categorical,"1 = yes, 2 = no",.na,.na,.na,Definition not specified in database; Check in article for more details
Life history,Trophic niche,det_vect,2,"Soria_2021, Pereira_2019",Soria_2021,numeric,.na,%,NA,NA,"Percentage of the diet composed of reptiles, snakes, amphibians, salamanders"
Life history,Trophic niche,Reptiles,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Presence of reptiles in the diet
Life history,Trophic niche,Amphibians,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Presence of amphibians in the diet
Life history,Trophic niche,det_vfish,3,"Soria_2021, Cosentino_2023, Scheiner_2017",Soria_2021,numeric,.na,%,NA,NA,Percentage of the diet composed of fish
Life history,Trophic niche,det_vunk,1,Soria_2021,Soria_2021,numeric,.na,%,NA,NA,Percentage of the diet composed of vertebrates – general or unknown
Life history,Trophic niche,det_scav,1,Soria_2021,Soria_2021,numeric,.na,%,NA,NA,"Percentage of the diet composed of scavenge, garbage, offal, carcasses, trawlers, carrion"
Life history,Trophic niche,det_fruit,4,"Soria_2021, Cosentino_2023, Scheiner_2017, Pereira_2019",Soria_2021,numeric,.na,%,NA,NA,"Percentage of the diet composed of fruit, drupes"
Life history,Trophic niche,det_nect,4,"Soria_2021, Cosentino_2023, Scheiner_2017, Pereira_2019",Soria_2021,numeric,.na,%,NA,NA,"Percentage of the diet composed of nectar, pollen, plant exudates, gums"
Life history,Trophic niche,det_seed,2,"Soria_2021, Cosentino_2023",Soria_2021,numeric,.na,%,NA,NA,"Percentage of the diet composed of seed, maize, nuts, spores, wheat, grains"
Life history,Trophic niche,det_plantother,1,Soria_2021,Soria_2021,numeric,.na,%,NA,NA,Percentage of the diet composed of other plant elements
Life history,Trophic niche,Leaves,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Presence of leaves in the diet
Life history,Trophic niche,Flowers,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Presence of flowers in the diet
Life history,Trophic niche,det_diet_breadth_n,1,Soria_2021,Soria_2021,categorical,Values range from 1 dietary category to 5 dietary categories,.na,.na,.na,Number of prevalent (≥ 20%) EltonTraits dietary categories consumed
Life history,Trophic niche,DietaryNicheBreadth,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,.na,NA,NA,Dietary niche breadth calculated using Levin’s standardised index: higher values indicate large niche breadth
Life history,Trophic niche,DietaryDiversity,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,.na,NA,NA,Dietary diversity calculated using Shannon-Weaver diversity index: higher values indicate highly diverse diet
Life history,Trophic niche,Bite force,1,Castillo-Figueroa_2021,Castillo-Figueroa_2021,numeric,.na,Newtons,NA,NA,"Is the result of the interplay between the teeth, the masticatory muscles, 
the mandible, the maxillae, and temporomandibular joints. Bite force can be 
measured *in vivo* with an isometric Kistler force transducer or can be 
estimated with assessments of muscular and bony morphology from skulls 
using algorithms"
Life history,Trophic niche,Dental formula,1,Cosentino_2023,Cosentino_2023,character,In-nCn-nPn-nMn-n,.na,.na,.na,Dental formula of the species
Life history,Trophic niche,Number of teeth,1,Cosentino_2023,Cosentino_2023,numeric,.na,.na,NA,NA,Number of teeth of the species
Life history,Spatial niche,Foraging hábitat,11,"Castillo-Figueroa_2021, Soria_2021, Barbaro_2019, Farneda_2018, Pereira_2018, Presley_2018, Charbonnier_2016, Farneda_2015, Cisneros_2014, Luck_2013, Carrasco-Rueda_2020",Castillo-Figueroa_2021,categorical,Background space; Uncluttered space; Highly cluttered space,.na,.na,.na,"It is the space where the bat is found most of the time, especially when 
searching for food. Resource availability and conditions limit foraging 
habitat"
Life history,Spatial niche,above canopy,1,Scheiner_2017,Scheiner_2017,categorical,"1 = yes, 2 = no",.na,.na,.na,Definition not specified in database; Check in article for more details
Life history,Spatial niche,canopy,1,Scheiner_2017,Scheiner_2017,categorical,"1 = yes, 2 = no",.na,.na,.na,Definition not specified in database; Check in article for more details
Life history,Spatial niche,subcanopy,1,Scheiner_2017,Scheiner_2017,categorical,"1 = yes, 2 = no",.na,.na,.na,Definition not specified in database; Check in article for more details
Life history,Spatial niche,understory,1,Scheiner_2017,Scheiner_2017,categorical,"1 = yes, 2 = no",.na,.na,.na,Definition not specified in database; Check in article for more details
Life history,Spatial niche,Ground,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Ground foraging
Life history,Spatial niche,Aerial,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Aerial foraging
Life history,Spatial niche,Vegetation,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Vegetation foraging
Life history,Spatial niche,Clutter,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Clutter foraging habitat
Life history,Spatial niche,Clutter_Edge,1,Cosentino_2023,Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Clutter-edge/ edge foraging habitat
Life history,Spatial niche,Open,3,"Cosentino_2023, Froidevaux_2023, Scheiner_2017",Cosentino_2023,categorical,"0 = never, 1 = occasional, 2 = typical",.na,.na,.na,Open foraging habitat
Life history,Spatial niche,freshwater,4,"Soria_2021, Cosentino_2023, Froidevaux_2023, Scheiner_2017",Soria_2021,categorical,"0 (no), 1 (yes)",.na,.na,.na,The species spends a significant amount of time in freshwater bodies
Life history,Spatial niche,marine,1,Soria_2021,Soria_2021,categorical,"0 (no), 1 (yes)",.na,.na,.na,The species spends a significant amount of time in oceans and/or seas
Life history,Spatial niche,CriticalFeedingAreasForest,1,Froidevaux_2023,Froidevaux_2023,categorical,"yes, no",.na,.na,.na,"Forest as critical feeding areas: yes, no"
Life history,Spatial niche,CriticalFeedingAreasWoodedRiparianHabitat,1,Froidevaux_2023,Froidevaux_2023,categorical,"yes, no",.na,.na,.na,"Wooded riparian habitat as critical feeding areas: yes, no"
Life history,Spatial niche,CriticalFeedingAreasWetland,1,Froidevaux_2023,Froidevaux_2023,categorical,"yes, no",.na,.na,.na,"Wetland as critical feeding areas: yes, no"
Life history,Spatial niche,CriticalFeedingAreasGrassland,1,Froidevaux_2023,Froidevaux_2023,categorical,"yes, no",.na,.na,.na,"Grassland as critical feeding areas: yes, no"
Life history,Spatial niche,CriticalFeedingAreasHedgerows,1,Froidevaux_2023,Froidevaux_2023,categorical,"yes, no",.na,.na,.na,"Hedgerows as critical feeding areas: yes, no"
Life history,Spatial niche,CriticalFeedingAreasOrchard,1,Froidevaux_2023,Froidevaux_2023,categorical,"yes, no",.na,.na,.na,"Orchard as critical feeding areas: yes, no"
Life history,Spatial niche,CriticalFeedingAreasShrubland,1,Froidevaux_2023,Froidevaux_2023,categorical,"yes, no",.na,.na,.na,"Shrubland as critical feeding areas: yes, no"
Life history,Spatial niche,CriticalFeedingAreasUrbanParKGarden,1,Froidevaux_2023,Froidevaux_2023,categorical,"yes, no",.na,.na,.na,"Urban park/garden as critical feeding areas: yes, no"
Life history,Spatial niche,Vertical stratification,2,"Castillo-Figueroa_2021, Soria_2021",Castillo-Figueroa_2021,numeric,.na,"individuals per mist-net hour
Canopy",NA,NA,"Based on the proportion of bat capture rate in ground (shrubs) and canopy 
nets (treetops). Bats can also use both strata (no preference)"
Life history,Spatial niche,terrestrial_volant,1,Soria_2021,Soria_2021,categorical,"0 (no), 1 (yes)",.na,.na,.na,The species is capable of powered flight and spends a significant amount of time flying in the air
Life history,Spatial niche,ManoeuvrabilityTurningDiameter,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,m,NA,NA,"Estimated realistic turning diameter for minimum flight speed, using values for ﬂight characteristics (ﬂight speed, wing loading) and body measures (body mass, wing area)"
Life history,Spatial niche,PropFlightAtHeight,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,%,NA,NA,Proportion of flights at height
Life history,Spatial niche,flight heigth,1,Briones-Salas_2017,Briones-Salas_2017,categorical,"low, medium, high",.na,.na,.na,Definition not specified in database; Check in article for more details
Life history,Spatial niche,Home range,6,"Castillo-Figueroa_2021, Soria_2021, Cosentino_2023, Froidevaux_2023, Barbaro_2019, Charbonnier_2016",Castillo-Figueroa_2021,numeric,.na,km2,NA,NA,"Area of available habitat over which an individual does its daily 
activities. There are several ways to estimate home range such as minimum 
convex polygon, minimum area probabilities, areas of kernel, etc."
Life history,Spatial niche,MaxRecordedMovement,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,km,NA,NA,Maximum recorded seasonal movement (includes migration movement)
Life history,Spatial niche,mobility,1,Farneda_2015,Farneda_2015,categorical,"low, intermediate, high",.na,.na,.na,"Based on the relationship between mean and maximum recapture distances (Fig. S3), using both recapture data obtained during our study and from the radio-tracking and mark-recapture literature (see Table S1 for a complete list of references). Species were grouped into three categories of mobility: low, intermediate, and high (see Fig. S3)."
Life history,Spatial niche,dispersal_km,3,"Soria_2021, Cosentino_2023, Froidevaux_2023",Soria_2021,numeric,.na,km,NA,NA,The distance an animal travels between its place of birth to the place where it reproduces in kilometers
Life history,Spatial niche,MeanNightlyDistance,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,m,NA,NA,Mean average daily distance between roost and foraging habitats
Life history,Spatial niche,MaxNightlyDistance,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,m,NA,NA,Mean maximum daily distance between roost and foraging habitats
Life history,Spatial niche,density_n_km2,1,Soria_2021,Soria_2021,numeric,.na,individuals/km2,NA,NA,Number of individuals of the species per squared kilometer
Life history,Spatial niche,fossoriality,1,Soria_2021,Soria_2021,categorical,"1: fossorial and/or ground dwelling, 2: above ground dwelling",.na,.na,.na,The species is above ground dwelling or ground/fossorial dwelling
Life history,Spatial niche,upper_elevation_m,2,"Soria_2021, Froidevaux_2023",Soria_2021,numeric,.na,m,NA,NA,Upper elevation limit at which the species can be found in meters
Life history,Spatial niche,lower_elevation_m,1,Soria_2021,Soria_2021,numeric,.na,m,NA,NA,Lower elevation limit at which the species can be found in meters
Life history,Spatial niche,AltitudinalMigration,1,Froidevaux_2023,Froidevaux_2023,categorical,"yes, no, possible",.na,.na,.na,"Altitudinal migration: yes, no, possible"
Life history,Spatial niche,altitude_breadth_m,1,Soria_2021,Soria_2021,numeric,.na,m,NA,NA,Difference between the upper and lower elevation limits of a species in meters
Life history,Spatial niche,island_dwelling,1,Soria_2021,Soria_2021,categorical,"0 (no), 1 (yes)",.na,.na,.na,20% or more of the breeding range occurs on an island
Life history,Spatial niche,island_endemicity,3,"Soria_2021, Froidevaux_2023, Tanalgo_2022",Soria_2021,categorical,"Exclusively marine, Occurs on mainland, Occurs on large land bridge islands: the species occurs on islands greater than 1,000 km2 that are separated from the mainland by water no more than 110 m deep. The islands would have been part of the mainland during the last glacial maximum., Occurs on small land bridge islands: the species occurs on islands smaller than 1,000 km2 that are separated from the mainland by water no more than 110 m deep. The islands would have been part of the mainland during the last glacial maximum., Occurs only on isolated islands: the species occurs on islands separated from the mainland by water deeper than 110 m.",.na,.na,.na,Score of island endemicity obtained from species’ ranges and historical and fossil occurrence records
Life history,Spatial niche,Geopolitical.endemism,1,Tanalgo_2022,Tanalgo_2022,nominal,"Non.Endemic, Endemic",.na,.na,.na,"Using the same criteria (IUCN Red List assessments), we categorised species endemism as geopolitically endemic (e.g., country-endemic, and non-endemic) when a species occurs only in a single country or state territory, and island endemism was classified as island-restricted or predominantly mainland."
Life history,Spatial niche,dissected_by_mountains,1,Soria_2021,Soria_2021,categorical,"0 (no), 1 (yes)",.na,.na,.na,Range dissected by mountains (based on elevation gradients with slopes equal or higher than 5 degrees)
Life history,Spatial niche,glaciation,1,Soria_2021,Soria_2021,categorical,"0 (no), 1 (yes)",.na,.na,.na,"Historical exposure to glaciation, considered as more than 20% range overlap with areas glaciated in the last 21000 years Binary"
Life history,Spatial niche,biogeographical_realm,3,"Soria_2021, Tanalgo_2022, Charbonnier_2016",Soria_2021,categorical,"Afrotropical, Antarctic, Australasian, Indomalayan, Nearctic, Neotropical, Oceanian, Palearctic",.na,.na,.na,Biogeographical realms in which the species can be encountered
Life history,Spatial niche,EstExtentOccurrence,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,km2,NA,NA,"Estimated extent of occurrence: area contained within the shortest continuous imaginary boundary which can be drawn to encompass all the known, inferred or projected sites of present occurrence of a taxon, excluding cases of vagrancy"
Life history,Spatial niche,GeographicRange,2,"Froidevaux_2023, Tanalgo_2022",Froidevaux_2023,numeric,.na,km2,NA,NA,Spatial area where a species is found
Life history,Spatial niche,Natural.range,1,Tanalgo_2022,Tanalgo_2022,continuous,.na,NA,NA,NA,"For all species, we estimated their present natural ranges (Peterken 1977), which is potential current natural ranges if species had never experienced strong anthropogenic pressures."
Life history,Spatial niche,habitat_breadth_n,1,Soria_2021,Soria_2021,numeric,.na,.na,9,9,Number of distinct suitable level 1 IUCN habitats
Life history,Spatial niche,Habitat,1,Geiselman_2020,Geiselman_2020,categorical,"Forest, Wetlands, Artificial Landscape, Caves and Subterranean Areas, Rocky Areas, Savanna, Desert, Shrubland, Grassland, Captivity",.na,.na,.na,The terrestrial habitat types used by this database are listed below and are the standard terms used in the IUCN Red List Habitats Authority File (Version 3.0). For more information please see IUCN Habitats Classification Scheme.
Life history,Spatial niche,SpeciesHabitatSpecializationIndex,2,"Froidevaux_2023, Barbaro_2019",Froidevaux_2023,numeric,.na,.na,NA,NA,Species habitat specialisation index: degree of specialisation of a species in its use of a habitat for foraging/commuting calculated using the coefficient of variation: higher values indicate high level of specialisation towards a given habitat.
Life history,Spatial niche,DeciduousForestAffinitySmallScale,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,.na,NA,NA,Estimated response to decideous forest at 50 m radius buffer scale calculated from generalized linear mixed model
Life history,Spatial niche,ConiferousForestAffinitySmallScale,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,.na,NA,NA,Estimated response to coniferous forest at 50 m radius buffer scale calculated from generalized linear mixed model
Life history,Spatial niche,DenseUrbanAreaAffinitySmallScale,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,.na,NA,NA,Estimated response to dense urban area at 50 m radius buffer scale calculated from generalized linear mixed model
Life history,Spatial niche,FreshwaterAffinitySmallScale,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,.na,NA,NA,Estimated response to freshwater at 50 m radius buffer scale calculated from generalized linear mixed model
Life history,Spatial niche,CroplandAffinitySmallScale,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,.na,NA,NA,Estimated response to cropland at 50 m radius buffer scale calculated from generalized linear mixed model
Life history,Spatial niche,GrasslandAffinitySmallScale,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,.na,NA,NA,Estimated response to grassland at 50 m radius buffer scale calculated from generalized linear mixed model
Life history,Spatial niche,DeciduousForestAffinityMediumScale,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,.na,NA,NA,Estimated response to decideous forest at 500 m radius buffer scale calculated from generalized linear mixed model
Life history,Spatial niche,ConiferousForestAffinityMediumScale,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,.na,NA,NA,Estimated response to coniferous at 500 m radius buffer scale calculated from generalized linear mixed model
Life history,Spatial niche,DenseUrbanAreaAffinityMediumScale,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,.na,NA,NA,Estimated response to dense urban area at 500 m radius buffer scale calculated from generalized linear mixed model
Life history,Spatial niche,FreshwaterAffinityMediumScale,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,.na,NA,NA,Estimated response to freshwater at 500 m radius buffer scale calculated from generalized linear mixed model
Life history,Spatial niche,CroplandAffinityMediumScale,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,.na,NA,NA,Estimated response to cropland at 500 m radius buffer scale calculated from generalized linear mixed model
Life history,Spatial niche,GrasslandAffinityMediumScale,1,Froidevaux_2023,Froidevaux_2023,numeric,.na,.na,NA,NA,Estimated response to grassland at 500 m radius buffer scale calculated from generalized linear mixed model
