Trait type,Complex or functional dimension,Castillo-Figueroa_2021,Soria_2021,Cosentino_2023,Froidevaux_2023,Crane_2022,Myhrvold_2015,Gonçalvez_2018,Geiselman_2020,Tanalgo_2022,Wilkinson_2002,Herberstein_2022,Gonçalvez-Souza_2023,Laurindo_2020,Barbaro_2019,Stevens_2018,Murillo-García_2018,Renner_2018,Farneda_2018,Monadjem_2018,Pereira_2018,Presley_2018,Reardon_2017,Scheiner_2017,Briones-Salas_2017,Wordley_2017,García-Morales_2016,Charbonnier_2016,Farneda_2015,Cisneros_2014,Stevens_2014,Luck_2013,Stevens_2013,Hanspach_2012,Stevens_2004,Fukui_2009,Sánchez_2017,Lucho_2017,Carrasco-Rueda_2020,Pereira_2019,Coelho_2018
Morphological,Size,Body mass,adult_mass_g,Body mass (F/M/U),BodyMass,,adult_body_mass_g,body_mass,,Body.mass (grams),,body mass,body mass,body mass,body mass,,,,body mass,mass,body mass,body mass,,mass,weight,,body weight,body mass,body mass,Mass Mean,,,,body mass,,,,,body mass,Weight,Weight
Morphological,Size,,,,,,,,,,,,biomass,,,,,,,,,,,,,,,,,,,,,,,,,biomass,,,
Morphological,Size,,,,,,female_body_mass_g,,,,"Female 
mass (g)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Size,,,,,,male_body_mass_g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Size,,,,,,no_sex_body_mass_g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Size,,,,,,,,,,,original body mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Size,Total length,adult_body_length_mm,Total length (F/M/U),,,adult_svl_cm,body_length,,,,,TL = Total length,,,,,,,,,,TL = Total length,,,,,,,,,,,,,,,total length,,,
Morphological,Size,,,,,,no_sex_svl_cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Size,,,Head body length (F/M/U),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Size,,,,,,male_svl_cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Size,,,,,,female_svl_cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Size,Forearm length,adult_forearm_length_mm,Forearm length (F/M/U),ForearmLength,,,forearm,,,,,forearm length,,,forearm length,,,,,Forearm length ,forearm length,FA = Forearm length,forearm length,forearm length,forearm length,forearm size,,,Forearm length,forearm length,,forearm length,forearm length,,,,forearm length,forearm length,Size,
Morphological,Size,,,Sexual dimorphism in size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Wings,Length of the third digit,,,ThirdDigitLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Wings,Length of the fifth digit,,,FifthDigitLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Wings,Wing loading,,Wing loading (F/M/U),WingLoadingIndex,partial_wing_loading,,,,,,,wing loading,,,,,,,wing loading,Wing load,wing loading,,wing loading,,,wing loading,,,Wing loading,,,,wing loading (total body mass/wing area),,wing loading,,,wing loading,wing loading,
Morphological,Wings,,,,,total_wing_loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Wings,,,,,relative_partial_loading,,,,,,,relative wing loading,,,,,,relative wing loading,,,,,,,relative wing loading,,,relative wing loading,,,,,,,,,,,,
Morphological,Wings,,,,,relative_total_loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Wings,Aspect ratio,,Wing aspect ratio (F/M/U),AspectRatioIndex,partial_aspect_ratio,,,,,,,aspect ratio,aspect ratio,,,,,aspect ratio,aspect ratio,Aspect ratio,wing aspect ratio,,Aspect ratio,,wing aspect ratio,aspect ratio,,aspect ratio,Aspect ratio,,,,aspect ratio (squared wing span/wing area),,aspect ratio,,,wing aspect ratio,aspect ratio,Aspect ratio (ratio between wing span and width)
Morphological,Wings,,,,,total_aspect_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Wings,Tip shape index,,,,,,,,,,,wingtip shape index,,,,,,,,,,,,,,,,,,,,,,,wingtip shape index,,,,,
Morphological,Wings,Wing span,,Wingspan (F/M/U),,wingspan,,,,,,,wingspan,,,,,,,,,,,,,,wingspan,,,,,,,,,,,,,,
Morphological,Wings,,,Wing length (F/M/U),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Wings,,,Wing area (F/M/U),,wing_surface_area,,,,,,,total wing area,,,,,,,,,,,,,,total wing area,,,,,,,,,,,,,,
Morphological,Wings,,,,,lifting_surface_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Wings,,,,,wing_area_rec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Pollex,Length of the pollex without claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Pollex,Length of the pollex with claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Hindlimbs,Length of the foot without claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Hindlimbs,length of the foot with claw,,Hind foot length (F/M/U),,,,,,,,,hind foot length,,,,,,,,,,,,,,,,,,,,,,,,,hind foot length,,,
Morphological,Hindlimbs,Length of the tibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Hindlimbs,Length of calcaneus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Head,Length of the ear,,,,,,,,,,,E = Ear length,,,,,,,,,,E = Ear length,,,,,,,,,,,,,,,ear length,,,
Morphological,Head,Length of tragus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Head,Length of nose leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Head,Inner nostril width ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Head,,brain_mass_g,,,,,,,,,brain size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,,,,,,,,original brain size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,,,,,,,,,Inter = Narrowest breadth of skull,,,,,,,,,,Inter = Narrowest breadth of skull,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,,,,,,,,,greatest skull length,greatest skull length,,greatest length of skull,Total skull length (TL),,,,,greatest length of skull,GSL = Greatest skull length,greatest length of skull,,,,,,Greatest length of skull,greatest length of skull,,greatest length of skull,,,,,,greatest length of the skull,,
Morphological,Head,,,,,,,,,,,,braincase breadth,braincase breadth,,breadth of braincase,,,,,,breadth of braincase,Brain = Breadth of brain case,breadth of braincase,,,,,,Breadth of braincase,breadth of braincase,,breadth of braincase,,,,,,breadth of braincase,,
Morphological,Head,,,,,,,,,,,,zygomatic breadth,zygomatic breadth,,,Zygomatic Breadth (ZB),,,,,,Zyg = Zygomatic breadth,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,,,,,,,,,Mast = Mastoid breadth,,,,,,,,,,Mast = Mastoid breadth,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,,,,,,,,,condylobasal length,,,condylobasal length,,,,,,condylobasal length,,condylobasal length,,,,,,Condylobasal length,condylobasal length,,condylobasal length,,,,,,condylobasal length,,
Morphological,Head,,,,,,,,,,,,length of maxillary toothrow,,,length of maxillary toothrow,Maxillary Toothrow Length (MTL),,,,,maxillary tooth row length,c-m3 = Length of upper tooth row,,,,,,,Length of maxillary toothrow,length of maxillary toothrow,,length of maxillary toothrow,,,,,,molar tooth row length,,
Morphological,Head,,,,,,,,,,,,breadth of post-orbital constriction,,,breadth of post-orbital constriction,,,,,,post-orbital constriction,,post-orbital constriction,,,,,,Width across postorbital constriction,breadth of post-orbital constriction,,breadth of post-orbital constriction,,,,,,post-orbital constriction,,
Morphological,Head,,,,,,,,,,,,breadth across upper molars,,,breadth across upper molars,,,,,,breadth across upper molars,,breadth across molars,,,,,,Breadth across upper molars,breadth across upper molars,,breadth across upper molars,,,,,,breadth across molars,,
Morphological,Head,,,,,,,,,,,,Postorbital Width (PW),,,,Postorbital Width (PW),,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,,,,,,,,,Posterior Skull width (PSW),,,,Posterior Skull width (PSW),,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,,,,,,,,,Palatal Width at canines (PW),,,,Palatal Width at canines (PW),,,,,,c-c = Width across the upper canines,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,,,,,,,,,Palatal Width at first molar (PW1),,,,Palatal Width at first molar (PW1),,,,,,m3-m3 = Width across the upper molars,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,,,,,,,,,Total Palate Length (TPL),,,,Total Palate Length (TPL),,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,,,,,,,,,Anterior Skull Length (ASL),,,,Anterior Skull Length (ASL),,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,,,,,,,,,Post-Palatal length (PPL),,,,Post-Palatal length (PPL),,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,,,,,,,,,Dentary Depth under first molar (DD),,,,Dentary Depth under first molar (DD),,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,,,,,,,,,Coronoid Process Height (CPH),,,,Coronoid Process Height (CPH),,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,,,,,,,,,Condyle height (CH),,,,Condyle height (CH),,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,,,,,,,,,CI = Condylo-incisive length,,,,,,,,,,CI = Condylo-incisive length,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,,,,,,,,,Condyle to Canine bite point distance (CC),,,,Condyle to Canine bite point distance (CC),,,,,,CC = Condylo-canine length,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,,,,,,,,,Condyle to first molar point distance (Cm1),,,,Condyle to first molar point distance (Cm1),,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,CM3,,,,,,,,Condyle to last molar point distance (Cm3),,,,Condyle to last molar point distance (Cm3),,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,,,,,,,,,Total Dentary Length (TDL),,,,Total Dentary Length (TDL),,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,,,,,,,,,Condyle-Coronoid Length (CCL),,,,Condyle-Coronoid Length (CCL),,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,,,,,,,,,Coronoid-Angular Length (CAL),,,,Coronoid-Angular Length (CAL),,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,,,,,,,,,Mandibular toothrow length (MAN),,,,Mandibular toothrow length (MAN),,,,,,Mc-m3 = Mandibular tooth row length,molar tooth row length,,,,,,,,,,,,,,,,,
Morphological,Head,,,,,,,,,,,,Mand = Mandibular length,,,,,,,,,,Mand = Mandibular length,,,,,,,,,,,,,,,,,,
Morphological,Head,,,,LCBLCCRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morphological,Tail,Tail length,,Tail length (F/M/U),,,,tail_length,,,,,T = Tail length,,,,,,,,,,T = Tail length,,,,,,,,,,,,,,,tail length,,,
Morphological,Tail,Uropatagium area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,Litters per year,litters_per_year_n,Number of litters per year,,,litters_or_clutches_per_y,,,,"Progeny 
per year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,Litter size,litter_size_n,Litter size,LitterSize,,litter_or_clutch_size_n,,,,,,female fecundity,,female fecundity,,,,,,,,,,,,,fecundity,,,,,,,,,,,,,
Life history,Reproductive,Gestation duration,gestation_length_d,Total gestation length,GestationTime,,gestation_d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,,Active gestation length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,Lactation duration,,Lactation length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,teat_number_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,neonate_mass_g,Neonatal body mass,,,birth_or_hatching_weight_g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,,Neonate head-body length,,,birth_or_hatching_svl_cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,weaning_age_d,Weaning length,Weaning,,weaning_d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,weaning_mass_g,Weaning body mass,,,weaning_weight_g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,,Weaning head-body length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,generation_length_d,,,,,,,Generation.length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,Reproductive status,,,,,,reproductive_stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,,,,,,sex,,,,sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,,Parental cares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,age_first_reproduction_d,Age of first birth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,interbirth_interval_d,Interval between births,,,inter_litter_or_interbirth_interval_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,,,,,,,,,,,mean birth date,,mean birth date,,,,,,,,,,,,,average birth date,,,,,,,,,,,,,
Life history,Reproductive,,,Sperm retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,,Delayed implantation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,,Delayed embryonic development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,max_longevity_d,,MaxLongevity,,maximum_longevity_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,,,,,longevity_y,,,,"Record 
life span",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,,Life-span in the wild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,,Life-span in captivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,,,,,,age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,,,,,,status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,Sexual maturity age,maturity_d,Sexual maturity age (F/M/U),,,no_sex_maturity_d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,female_maturity_d,,SexualMaturityFemale,,female_maturity_d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,male_maturity_d,,SexualMaturityMale,,male_maturity_d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,,,,,female_svl_at_maturity_cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,,,,,female_body_mass_at_maturity_g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,Mating systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,,Polygamy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,,Polyandry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,,Polygyny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Reproductive,,,Monogamy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,Digestive capactiy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,,,,DigestiveEfficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,Gut size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,Gut retention time of seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,Type of lingual papillae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,Metabolic rate,,,BasalMetabolicRate,,,,,,,metabolic rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,,,,,,,,,,,original metabolic rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,,,,,,,,,,,mass-specific metabolic rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,,,,BasalMetabolicRatePerc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,,,,RestingMetabolicRate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,,,,HeartRateFlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,,,,HeartRateResting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,,,,TotalEvaporativeWaterLossRate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,,,,SpeciesThermalIndex,,,,,,,,thermal index,,thermal index,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,Body temperature,,,BodyTempTNZ,,,,,,,original temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,,,,ResponseToNightlyTemperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,,,,ResponseToNightlyPrecipitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,,,,ResponseToNightlyWindSpeed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,,hibernation_torpor,Hibernation,TorporBehavior,,,,,,Hibernate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,,,Hibernation length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,,,,HeartRateTorpor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,,,,MaxTorporBoutDuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Physiological,,,,MeanTorporBoutDuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,Migration,,Migratory,,,,,,,,,migration strategy,,migration strategy,,,,,,,,,,,,,migration status,,,,,,,,,,,,,
Life history,Behavioral,Sociality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,social_group_size_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,Territoriality (F/M/U),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,Foraging strategy,,,,,,,,,,,Ability to fly,,,,,Ability to fly,,Foraging guild,,foraging strategy,,foraging guild,,,,,,Foraging strategy,,,,,,,,,foraging method,,
Life history,Behavioral,,,,,,,,,,,,aerial,,,,,,,,,,,aerial,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,Hawking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,Gleaning,,,,,,,,,gleaning,,,,,,,,,,,gleaning,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,Flycatching ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,Trawling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,Hovering,,,,,,,,,hover,,,,,,,,,,,hover,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,Perching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,,,,,,,,,,other,,,,,,,,,,,other,,,,,,,,,,,,,,,,,
Life history,Behavioral,Activity pattern,activity_cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,Activity pattern/Dusk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,Activity pattern/Night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,Activity pattern/Dawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,Activity pattern/Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,,SeasonalActivityPatternKurtosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,,SeasonalActivityPatternSkewness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Behavioral,,,,,,,,,,,,total activity level,,,,,,,,,,,,,,,,,,,total activity level,,,,,,,,,
